Country,Infant mortality
Afghanistan,47.9
Albania,7.8
Algeria,20.1
Angola,51.6
Argentina,8.8
Armenia,11
Australia,3.1
Austria,2.9
Azerbaijan,19.2
The Bahamas,8.3
Bahrain,6.1
Bangladesh,25.1
Barbados,11.3
Belgium,2.9
Belize,11.2
Benin,60.5
Bhutan,24.8
Botswana,30
Brazil,12.8
Brunei,9.8
Bulgaria,5.9
Burkina Faso,49
Burundi,41
Ivory Coast,59.4
Cape Verde,16.7
Cambodia,24
Cameroon,50.6
Canada,4.3
Central African Republic,84.5
Chad,71.4
Chile,6.2
China,7.4
Colombia,12.2
Comoros,51.3
Republic of the Congo,36.2
Costa Rica,7.6
Croatia,4
Cyprus,1.9
Czech Republic,2.7
Democratic Republic of the Congo,68.2
Denmark,3.6
Djibouti,49.8
Dominican Republic,24.1
Ecuador,12.2
Egypt,18.1
El Salvador,11.8
Equatorial Guinea,62.6
Estonia,2.1
Ethiopia,39.1
Fiji,21.6
Finland,1.4
France,3.4
Gabon,32.7
The Gambia,39
Georgia,8.7
Germany,3.1
Ghana,34.9
Greece,3.6
Guatemala,22.1
Guinea,64.9
Guinea-Bissau,54
Guyana,25.1
Haiti,49.5
Honduras,15.1
Hungary,3.6
Iceland,1.5
India,29.9
Indonesia,21.1
Iran,12.4
Iraq,22.5
Republic of Ireland,3.1
Israel,3
Italy,2.6
Jamaica,12.4
Japan,1.8
Jordan,13.9
Kazakhstan,8.8
Kenya,30.6
Kuwait,6.7
Kyrgyzstan,16.9
Laos,37.6
Latvia,3.3
Lebanon,6.4
Lesotho,65.7
Liberia,53.5
Libya,10.2
Lithuania,3.3
Luxembourg,1.9
Madagascar,38.2
Malawi,35.3
Malaysia,6.7
Maldives,7.4
Mali,62
Malta,6.1
Mauritania,51.5
Mauritius,13.6
Mexico,11
Moldova,13.6
Mongolia,14
Montenegro,2.3
Morocco,19.2
Mozambique,54
Myanmar,36.8
Namibia,29
Nepal,26.7
Netherlands,3.3
New Zealand,4.7
Nicaragua,15.7
Niger,48
Nigeria,75.7
Norway,2.1
Oman,9.8
Pakistan,57.2
Panama,13.1
Papua New Guinea,38
Paraguay,17.2
Peru,11.1
Philippines,22.5
Poland,3.8
Portugal,3.1
Qatar,5.8
Romania,6.1
Russia,6.1
Rwanda,27
Saint Lucia,14.9
Saint Vincent and the Grenadines,14.8
Samoa,13.6
Saudi Arabia,6
Senegal,31.8
Serbia,4.8
Sierra Leone,78.5
Singapore,2.3
Slovakia,4.6
Slovenia,1.7
South Africa,28.5
South Korea,2.7
Spain,2.5
Sri Lanka,6.4
Sudan,42.1
Suriname,16.9
Sweden,2.2
Switzerland,3.7
Syria,14
Tajikistan,30.4
Tanzania,37.6
Thailand,7.8
East Timor,39.3
Togo,47.4
Tonga,13.4
Trinidad and Tobago,16.4
Tunisia,14.6
Turkey,9.1
Uganda,33.8
Ukraine,7.5
United Arab Emirates,6.5
United Kingdom,3.6
United States,5.6
Uruguay,6.4
Vanuatu,22.3
Venezuela,21.4
Vietnam,16.5
Yemen,42.9
Zambia,40.4
Zimbabwe,33.9
